companyId,metricId,name,value,period
C001,FM045,AWS Net Sales,"$62,202M",FY2021
C001,FM046,AWS Operating Income,"$18,532M",FY2021
C001,FM047,AWS Sales Growth,29%,FY2022
C001,FM120,Borrowings outstanding under commercial paper programs,$6.8B,FY2022
C001,FM121,Borrowings outstanding under secured revolving credit facility,$1.0B,FY2022
C001,FM144,Cash Equivalents and Marketable Fixed Income Securities,"$56,016M",FY2022
C001,FM154,Cash capital expenditures,$58.3B,FY2022
C001,FM158,Cash inflows from financing activities,$62.7B,FY2022
C001,FM159,Cash outflows from financing activities,$53.0B,FY2022
C001,FM160,Cash payments for acquisitions and investments (net of acquired cash),$8.3B,FY2022
C001,FM161,Cash provided by financing activities,$9.7B,FY2022
C001,FM162,Cash provided by operating activities,$46.752B,FY2022
C001,FM163,Cash taxes paid (net of refunds),$6.0B,FY2022
C001,FM169,"Cash, cash equivalents, and marketable securities",$70.0B,FY2022
C001,FM170,"Cash, cash equivalents, and marketable securities held by foreign subsidiaries",$4.7B,FY2022
C002,FM054,Accumulated Deficit,$16.03M,FY2023
C002,FM090,Americas Net Sales,$162.6B,FY2023
C002,FM143,Cash,"$141,206",FY2022
C002,FM145,Cash Flows from Financing Activities,"$4,882,334",FY2022
C002,FM146,Cash Flows used in Investing Activities,"-$5,679,020",FY2022
C002,FM147,Cash Flows used in Operating Activities,"-$1,150,005",FY2022
C002,FM150,Cash Used for Operating Activities,$1.15M,FY2022
C002,FM156,Cash from Investing Activities,-$5.68M,FY2022
C002,FM165,"Cash, Cash Equivalents and Unrestricted Marketable Securities",$148.3B,FY2023
C002,FM176,Commercial Paper Outstanding,$2.0B,FY2015
C002,FM218,Current Assets,"$295,873",FY2022
C002,FM221,Current Liabilities,"$1,453,145",FY2022
C002,FM244,Deemed Repatriation Tax Payable,$22.0B,FY2023
C002,FM245,Deemed Repatriation Tax Payable Within 12 Months,$6.5B,FY2023
C002,FM251,Depletion Expenses,reclassified to conform current period standards,current reporting period
C003,FM050,"Accounts Receivable, Net of Allowance for Doubtful Accounts",$751M,FY2021
C003,FM052,Accrued Interest Expense on Uncertain Tax Positions,$4.3B,FY2021
C003,FM053,Accrued Legal Liabilities,$617M,FY2023
C003,FM055,Accumulated Goodwill Impairment,$11.3B,FY2023
C003,FM057,"Accumulated other comprehensive income (loss), end of period","$1,822M",FY2021
C003,FM058,Accumulated other comprehensive loss,"-$6,343M",FY2023
C003,FM060,Acquisition Purchase Price - Activision Blizzard,$68.7B,FY2022
C003,FM061,Acquisition Purchase Price per Share - Activision Blizzard,$95.00,FY2022
C003,FM066,Activision Blizzard Acquisition Agreement Value,$68.7B,January 2022
C003,FM070,Additional Finance Leases Not Yet Commenced,$34.4B,FY2023
C003,FM072,Additional Operating Leases Not Yet Commenced,$7.7B,FY2023
C003,FM075,Additions to property and equipment,"-$28,107M",FY2023
C003,FM077,Advertising Expense,$1.5B,FY2021
C003,FM089,Allowance for Doubtful Accounts - Balance End of Period,$798M,FY2021
C003,FM116,Basic EPS,$8.12,FY2021
C004,FM056,Accumulated Other Comprehensive Income (Loss) Impact - Foreign Exchange Contracts (10% USD strengthening),~$103M lower,FY2022
C004,FM059,Acquisition Prepayment Write-off,$1.35B,FY2023
C004,FM062,Acquisition Termination Charge (Arm),$1.35B,FY2023
C004,FM063,Acquisition Termination Cost,"$1,353M",FY2023
C004,FM076,Adverse Impact on Income Before Taxes - Balance Sheet Hedging Contracts (10% adverse FX change),~$41M,FY2022
C004,FM080,Aggregate Debt - Due in Five to Ten Years,"$4,000M","as of January 29, 2023"
C004,FM081,Aggregate Debt - Due in Greater Than Ten Years,$3.5B,FY2023
C004,FM082,Aggregate Debt - Due in One Year,"$1,250M","as of January 29, 2023"
C004,FM083,Aggregate Debt - Due in One to Five Years,"$2,250M","as of January 29, 2023"
C004,FM098,Arm Acquisition Termination Cost,"$1,350M",FY2023
C004,FM104,Automotive Revenue,$903M,FY2023
C004,FM105,Automotive Revenue Growth,60.0%,FY2023
C004,FM127,CMP Revenue,$550M,FY2022
C004,FM133,CUDA Developer Base,3.8 million developers worldwide,current
C004,FM137,Capital Investments - Property and Equipment,$1.10B to $1.30B,FY2024
C005,FM001,2015 GT&S Revenue Requirement Recovery,$356M,FY2022
C005,FM002,2017 Wildfire Claims Costs Securitization,$7.5B,FY2017
C005,FM003,2018 CEMA Application Total Cost Recovery Request,$763M,FY2018
C005,FM004,2018 CEMA Interim Rate Relief Approved,$373M,FY2019
C005,FM005,2018 CEMA Revenue Requirement Requested,$763M,FY2018
C005,FM006,2018 CEMA Settlement Authorized Collection,$683M plus interest,FY2022
C005,FM007,2018 CEMA Settlement Recovery Amount,$683M plus interest,approved March 2022
C005,FM008,2018 CEMA Settlement Revenue Requirement,$683M plus interest,FY2022
C005,FM009,2020 Utility Term Loan Prepayment,$298M,FY2022
C005,FM010,2020 WMCE Amortization Recovery,$591M,24-month period beginning March 2023
C005,FM011,2020 WMCE CEMA Amount,$251M,FY2020
C005,FM012,2020 WMCE Capital Expenditures,$801M,FY2020
C005,FM013,2020 WMCE Expense,$1.18B,FY2020
C005,FM014,2020 WMCE FHPMA Amount,$293M,FY2020
C005,FM015,2020 WMCE FRMMA and WMPMA Amount,$740M,FY2020
C006,FM064,Acquisitions Net of Cash Acquired,$3.6B,FY2020
C006,FM065,Active Accounts,426M,FY2021
C006,FM069,Additional Credit Activity Funding Approved,$1.1B,FY2022
C006,FM074,Additional Stock Repurchase Authorization,$15.0B,June 2022
C006,FM078,Aggregate Cash Deposits Under Cash Pooling Arrangement,$1.7B,FY2022
C006,FM084,Aggregate Principal Amount of Fixed Rate Notes,$12.0B,"May 2022, May 2020, September 2019"
C006,FM088,Allowance Increase per 1% Principal and Interest Coverage Ratio,~$80M,FY2022
C006,FM089,Allowance for Doubtful Accounts - Balance End of Period,$798M,FY2021
C006,FM099,Asset Impairment Charges,$26M,FY2021
C006,FM106,Available Borrowing Capacity (Paidy Credit Agreement),¥25.7B (~$195M),FY2022
C006,FM122,Borrowings under Financing Arrangements,$3.5B,FY2022
C006,FM148,Cash Paid for Income Taxes (Net),$565M,FY2020
C006,FM151,Cash Withdrawals Under Cash Pooling Arrangement,$1.7B,FY2022
C006,FM152,Cash and Cash Equivalents Portfolio Percentage,40%,FY2021
C006,FM157,Cash held by foreign subsidiaries,$7.4B (57%),FY2021
