:ID(Flight),flight_number,aircraft_id,operator,origin,destination,scheduled_departure,scheduled_arrival
FL00001,EX370,AC1013,ExampleAir,PHX,SEA,2024-09-27T22:00:00,2024-09-28T03:24:00
FL00002,SK739,AC1014,SkyWays,SEA,SFO,2024-07-08T08:00:00,2024-07-08T10:49:00
FL00003,NO833,AC1012,NorthernJet,ATL,LAX,2024-08-11T12:00:00,2024-08-11T14:06:00
FL00004,NO234,AC1008,NorthernJet,DFW,LAX,2024-07-09T19:00:00,2024-07-10T00:42:00
FL00005,EX199,AC1001,ExampleAir,MIA,SFO,2024-07-03T12:00:00,2024-07-03T15:46:00
FL00006,SK180,AC1002,SkyWays,SFO,MSP,2024-07-26T00:00:00,2024-07-26T05:07:00
FL00007,EX400,AC1009,ExampleAir,LAX,PHX,2024-08-30T09:00:00,2024-08-30T13:29:00
FL00008,EX662,AC1017,ExampleAir,LAX,ATL,2024-07-03T01:00:00,2024-07-03T03:44:00
FL00009,RE997,AC1011,RegionalCo,MIA,SFO,2024-09-07T19:00:00,2024-09-07T21:44:00
FL00010,EX277,AC1005,ExampleAir,DFW,SEA,2024-07-15T11:00:00,2024-07-15T13:48:00
FL00011,NO805,AC1020,NorthernJet,MSP,MIA,2024-08-16T19:00:00,2024-08-16T21:22:00
FL00012,EX383,AC1005,ExampleAir,ORD,MSP,2024-07-20T02:00:00,2024-07-20T05:26:00
FL00013,SK101,AC1014,SkyWays,JFK,PHX,2024-08-30T19:00:00,2024-08-30T21:16:00
FL00014,SK337,AC1010,SkyWays,SEA,DFW,2024-08-21T12:00:00,2024-08-21T13:49:00
FL00015,RE823,AC1003,RegionalCo,SFO,DFW,2024-09-02T18:00:00,2024-09-02T21:41:00
FL00016,RE656,AC1019,RegionalCo,BOS,DFW,2024-09-09T19:00:00,2024-09-09T22:09:00
FL00017,NO266,AC1012,NorthernJet,MIA,PHX,2024-08-01T04:00:00,2024-08-01T09:19:00
FL00018,NO670,AC1020,NorthernJet,DFW,DEN,2024-08-16T01:00:00,2024-08-16T05:34:00
FL00019,NO583,AC1008,NorthernJet,DEN,DFW,2024-07-04T10:00:00,2024-07-04T12:35:00
FL00020,EX183,AC1013,ExampleAir,LAX,PHX,2024-07-12T07:00:00,2024-07-12T09:38:00
FL00021,SK189,AC1018,SkyWays,SFO,MIA,2024-09-24T02:00:00,2024-09-24T04:59:00
FL00022,EX105,AC1001,ExampleAir,DEN,MSP,2024-08-10T17:00:00,2024-08-10T20:33:00
FL00023,RE213,AC1007,RegionalCo,DEN,PHX,2024-07-23T19:00:00,2024-07-23T23:07:00
FL00024,RE380,AC1019,RegionalCo,SFO,PHX,2024-07-25T02:00:00,2024-07-25T07:22:00
FL00025,SK755,AC1006,SkyWays,BOS,LAX,2024-07-27T11:00:00,2024-07-27T14:26:00
FL00026,EX930,AC1001,ExampleAir,ORD,DFW,2024-07-23T15:00:00,2024-07-23T18:05:00
FL00027,SK977,AC1010,SkyWays,DFW,JFK,2024-07-27T22:00:00,2024-07-27T23:48:00
FL00028,EX810,AC1001,ExampleAir,ORD,SEA,2024-07-03T21:00:00,2024-07-04T01:31:00
FL00029,RE563,AC1011,RegionalCo,PHX,SEA,2024-08-22T20:00:00,2024-08-23T00:39:00
FL00030,RE889,AC1007,RegionalCo,JFK,PHX,2024-09-06T03:00:00,2024-09-06T08:50:00
FL00031,NO645,AC1012,NorthernJet,MSP,SEA,2024-08-06T23:00:00,2024-08-07T01:09:00
FL00032,SK751,AC1018,SkyWays,LAX,PHX,2024-07-11T11:00:00,2024-07-11T12:44:00
FL00033,SK262,AC1002,SkyWays,BOS,PHX,2024-09-03T06:00:00,2024-09-03T07:33:00
FL00034,RE828,AC1019,RegionalCo,SEA,PHX,2024-09-28T17:00:00,2024-09-28T19:25:00
FL00035,SK549,AC1010,SkyWays,PHX,MSP,2024-07-10T05:00:00,2024-07-10T07:35:00
FL00036,RE625,AC1007,RegionalCo,MSP,BOS,2024-09-11T15:00:00,2024-09-11T20:40:00
FL00037,EX144,AC1009,ExampleAir,MIA,MSP,2024-07-11T09:00:00,2024-07-11T13:30:00
FL00038,NO760,AC1008,NorthernJet,ORD,LAX,2024-09-05T12:00:00,2024-09-05T13:46:00
FL00039,NO691,AC1012,NorthernJet,SFO,LAX,2024-08-04T23:00:00,2024-08-05T01:43:00
FL00040,EX713,AC1009,ExampleAir,MIA,PHX,2024-09-13T10:00:00,2024-09-13T12:21:00
FL00041,RE566,AC1011,RegionalCo,LAX,DFW,2024-09-08T08:00:00,2024-09-08T10:12:00
FL00042,SK697,AC1002,SkyWays,DFW,MIA,2024-08-14T10:00:00,2024-08-14T11:59:00
FL00043,NO201,AC1016,NorthernJet,MIA,DEN,2024-07-15T22:00:00,2024-07-15T23:54:00
FL00044,RE335,AC1015,RegionalCo,MSP,SFO,2024-07-24T11:00:00,2024-07-24T14:34:00
FL00045,NO750,AC1008,NorthernJet,ORD,SFO,2024-08-24T13:00:00,2024-08-24T14:54:00
FL00046,RE151,AC1003,RegionalCo,ORD,DFW,2024-09-15T13:00:00,2024-09-15T18:41:00
FL00047,NO679,AC1008,NorthernJet,DFW,ORD,2024-07-24T00:00:00,2024-07-24T04:59:00
FL00048,NO440,AC1016,NorthernJet,JFK,DEN,2024-07-17T11:00:00,2024-07-17T14:11:00
FL00049,SK974,AC1006,SkyWays,DFW,LAX,2024-07-16T11:00:00,2024-07-16T15:15:00
FL00050,NO956,AC1004,NorthernJet,ORD,JFK,2024-09-24T09:00:00,2024-09-24T10:38:00
FL00051,EX102,AC1013,ExampleAir,DFW,MIA,2024-08-15T10:00:00,2024-08-15T14:04:00
FL00052,NO818,AC1004,NorthernJet,PHX,MSP,2024-07-23T12:00:00,2024-07-23T14:30:00
FL00053,EX700,AC1009,ExampleAir,BOS,MIA,2024-07-09T05:00:00,2024-07-09T08:29:00
FL00054,NO800,AC1020,NorthernJet,BOS,PHX,2024-09-19T06:00:00,2024-09-19T09:24:00
FL00055,NO593,AC1012,NorthernJet,ATL,MSP,2024-09-11T16:00:00,2024-09-11T18:33:00
FL00056,RE556,AC1003,RegionalCo,SEA,JFK,2024-09-22T19:00:00,2024-09-22T21:58:00
FL00057,RE776,AC1007,RegionalCo,SFO,MIA,2024-07-23T23:00:00,2024-07-24T03:00:00
FL00058,NO433,AC1012,NorthernJet,SFO,DEN,2024-07-30T00:00:00,2024-07-30T02:16:00
FL00059,NO526,AC1016,NorthernJet,SEA,MSP,2024-07-31T06:00:00,2024-07-31T07:56:00
FL00060,RE934,AC1011,RegionalCo,JFK,PHX,2024-08-02T23:00:00,2024-08-03T03:10:00
FL00061,RE552,AC1007,RegionalCo,JFK,PHX,2024-09-12T19:00:00,2024-09-12T21:58:00
FL00062,EX104,AC1013,ExampleAir,DEN,MIA,2024-07-29T07:00:00,2024-07-29T08:36:00
FL00063,NO748,AC1008,NorthernJet,DEN,MSP,2024-09-03T04:00:00,2024-09-03T07:51:00
FL00064,EX155,AC1005,ExampleAir,SEA,PHX,2024-07-31T12:00:00,2024-07-31T16:56:00
FL00065,EX608,AC1005,ExampleAir,MSP,ORD,2024-08-25T10:00:00,2024-08-25T12:18:00
FL00066,EX802,AC1017,ExampleAir,ATL,JFK,2024-08-13T17:00:00,2024-08-13T21:21:00
FL00067,EX625,AC1009,ExampleAir,DFW,DEN,2024-07-16T15:00:00,2024-07-16T18:16:00
FL00068,EX258,AC1001,ExampleAir,MSP,PHX,2024-07-21T00:00:00,2024-07-21T04:08:00
FL00069,EX902,AC1005,ExampleAir,MIA,MSP,2024-07-12T11:00:00,2024-07-12T13:56:00
FL00070,SK788,AC1002,SkyWays,JFK,SEA,2024-09-25T12:00:00,2024-09-25T15:19:00
FL00071,SK955,AC1018,SkyWays,JFK,PHX,2024-08-22T13:00:00,2024-08-22T15:49:00
FL00072,RE775,AC1007,RegionalCo,ORD,LAX,2024-07-18T20:00:00,2024-07-18T22:51:00
FL00073,NO252,AC1004,NorthernJet,MSP,SEA,2024-09-09T07:00:00,2024-09-09T10:33:00
FL00074,RE471,AC1007,RegionalCo,DFW,JFK,2024-09-24T15:00:00,2024-09-24T17:24:00
FL00075,SK307,AC1010,SkyWays,DEN,PHX,2024-08-09T17:00:00,2024-08-09T19:51:00
FL00076,RE916,AC1019,RegionalCo,DEN,BOS,2024-09-29T12:00:00,2024-09-29T14:37:00
FL00077,EX791,AC1005,ExampleAir,LAX,ATL,2024-09-11T05:00:00,2024-09-11T10:25:00
FL00078,SK411,AC1014,SkyWays,JFK,MSP,2024-07-22T12:00:00,2024-07-22T14:58:00
FL00079,EX514,AC1009,ExampleAir,SFO,SEA,2024-09-25T11:00:00,2024-09-25T14:55:00
FL00080,EX594,AC1005,ExampleAir,PHX,ATL,2024-07-19T02:00:00,2024-07-19T06:37:00
FL00081,SK812,AC1002,SkyWays,PHX,DFW,2024-07-04T14:00:00,2024-07-04T18:03:00
FL00082,EX329,AC1009,ExampleAir,PHX,SEA,2024-09-29T18:00:00,2024-09-29T23:32:00
FL00083,RE714,AC1019,RegionalCo,BOS,JFK,2024-07-20T17:00:00,2024-07-20T20:52:00
FL00084,RE935,AC1011,RegionalCo,DFW,JFK,2024-09-20T15:00:00,2024-09-20T19:06:00
FL00085,SK232,AC1018,SkyWays,DEN,PHX,2024-07-20T16:00:00,2024-07-20T21:00:00
FL00086,SK433,AC1014,SkyWays,JFK,SEA,2024-07-11T00:00:00,2024-07-11T04:47:00
FL00087,RE239,AC1007,RegionalCo,SFO,PHX,2024-08-02T12:00:00,2024-08-02T13:39:00
FL00088,NO355,AC1020,NorthernJet,BOS,SFO,2024-08-10T00:00:00,2024-08-10T05:45:00
FL00089,EX926,AC1001,ExampleAir,DFW,SEA,2024-08-31T21:00:00,2024-08-31T23:55:00
FL00090,NO327,AC1012,NorthernJet,DEN,MIA,2024-07-20T18:00:00,2024-07-20T23:26:00
FL00091,NO821,AC1020,NorthernJet,LAX,PHX,2024-07-24T22:00:00,2024-07-25T03:11:00
FL00092,SK207,AC1006,SkyWays,ORD,DFW,2024-08-24T15:00:00,2024-08-24T19:04:00
FL00093,SK174,AC1018,SkyWays,ATL,BOS,2024-09-09T23:00:00,2024-09-10T03:32:00
FL00094,EX674,AC1005,ExampleAir,LAX,MSP,2024-08-19T06:00:00,2024-08-19T08:38:00
FL00095,EX919,AC1017,ExampleAir,MSP,PHX,2024-07-28T15:00:00,2024-07-28T17:29:00
FL00096,SK186,AC1018,SkyWays,LAX,SFO,2024-09-21T14:00:00,2024-09-21T15:53:00
FL00097,RE306,AC1011,RegionalCo,DFW,DEN,2024-07-27T12:00:00,2024-07-27T13:46:00
FL00098,RE215,AC1011,RegionalCo,LAX,PHX,2024-08-08T19:00:00,2024-08-08T22:27:00
FL00099,SK187,AC1006,SkyWays,JFK,DFW,2024-07-27T23:00:00,2024-07-28T01:53:00
FL00100,EX318,AC1005,ExampleAir,ATL,DEN,2024-09-28T21:00:00,2024-09-29T02:18:00
FL00101,SK587,AC1010,SkyWays,ATL,PHX,2024-08-03T06:00:00,2024-08-03T07:59:00
FL00102,RE653,AC1011,RegionalCo,DEN,JFK,2024-07-18T03:00:00,2024-07-18T05:31:00
FL00103,SK733,AC1002,SkyWays,SFO,DFW,2024-08-06T16:00:00,2024-08-06T18:56:00
FL00104,NO170,AC1012,NorthernJet,PHX,SEA,2024-08-17T23:00:00,2024-08-18T04:44:00
FL00105,NO670,AC1004,NorthernJet,PHX,ATL,2024-08-30T05:00:00,2024-08-30T10:17:00
FL00106,RE463,AC1007,RegionalCo,DEN,MIA,2024-09-03T08:00:00,2024-09-03T12:31:00
FL00107,EX455,AC1017,ExampleAir,SFO,MIA,2024-08-22T12:00:00,2024-08-22T17:05:00
FL00108,EX558,AC1017,ExampleAir,SEA,JFK,2024-08-12T22:00:00,2024-08-13T02:08:00
FL00109,RE185,AC1007,RegionalCo,LAX,JFK,2024-07-06T19:00:00,2024-07-06T21:56:00
FL00110,EX713,AC1017,ExampleAir,JFK,SEA,2024-07-27T04:00:00,2024-07-27T06:16:00
FL00111,SK115,AC1014,SkyWays,MSP,ORD,2024-09-28T22:00:00,2024-09-29T00:03:00
FL00112,EX425,AC1009,ExampleAir,MSP,BOS,2024-09-14T22:00:00,2024-09-14T23:44:00
FL00113,SK448,AC1002,SkyWays,PHX,DEN,2024-09-26T23:00:00,2024-09-27T04:02:00
FL00114,EX303,AC1009,ExampleAir,MIA,DFW,2024-07-22T22:00:00,2024-07-23T00:19:00
FL00115,RE316,AC1015,RegionalCo,DEN,JFK,2024-08-29T10:00:00,2024-08-29T13:00:00
FL00116,SK530,AC1018,SkyWays,MIA,ORD,2024-07-27T13:00:00,2024-07-27T14:35:00
FL00117,NO690,AC1008,NorthernJet,SEA,DFW,2024-07-20T17:00:00,2024-07-20T19:35:00
FL00118,RE861,AC1007,RegionalCo,DEN,SEA,2024-07-22T05:00:00,2024-07-22T07:49:00
FL00119,EX457,AC1009,ExampleAir,ATL,DFW,2024-07-08T18:00:00,2024-07-08T21:23:00
FL00120,NO702,AC1020,NorthernJet,PHX,ATL,2024-08-06T02:00:00,2024-08-06T05:33:00
FL00121,EX421,AC1013,ExampleAir,SFO,ATL,2024-07-13T15:00:00,2024-07-13T18:15:00
FL00122,SK908,AC1006,SkyWays,BOS,ATL,2024-08-28T04:00:00,2024-08-28T06:34:00
FL00123,SK231,AC1018,SkyWays,JFK,PHX,2024-07-18T22:00:00,2024-07-19T00:35:00
FL00124,RE972,AC1003,RegionalCo,MSP,MIA,2024-07-11T18:00:00,2024-07-11T23:07:00
FL00125,NO155,AC1016,NorthernJet,ORD,MIA,2024-09-02T20:00:00,2024-09-03T00:42:00
FL00126,SK492,AC1018,SkyWays,DEN,SEA,2024-08-29T04:00:00,2024-08-29T08:07:00
FL00127,RE657,AC1015,RegionalCo,ATL,MSP,2024-08-24T03:00:00,2024-08-24T07:37:00
FL00128,SK683,AC1010,SkyWays,SFO,JFK,2024-07-19T06:00:00,2024-07-19T11:07:00
FL00129,SK102,AC1002,SkyWays,DEN,ORD,2024-09-18T17:00:00,2024-09-18T22:08:00
FL00130,SK666,AC1014,SkyWays,MIA,ATL,2024-08-21T02:00:00,2024-08-21T04:46:00
FL00131,RE151,AC1011,RegionalCo,BOS,MSP,2024-09-03T01:00:00,2024-09-03T06:08:00
FL00132,NO826,AC1008,NorthernJet,MSP,ATL,2024-09-02T01:00:00,2024-09-02T03:15:00
FL00133,SK700,AC1002,SkyWays,PHX,JFK,2024-08-28T21:00:00,2024-08-28T22:40:00
FL00134,RE687,AC1015,RegionalCo,MSP,LAX,2024-08-02T05:00:00,2024-08-02T10:40:00
FL00135,SK308,AC1002,SkyWays,ORD,SEA,2024-07-10T02:00:00,2024-07-10T04:44:00
FL00136,RE111,AC1019,RegionalCo,MIA,MSP,2024-09-15T03:00:00,2024-09-15T05:50:00
FL00137,RE165,AC1003,RegionalCo,LAX,ATL,2024-07-03T02:00:00,2024-07-03T05:36:00
FL00138,NO750,AC1020,NorthernJet,LAX,DFW,2024-08-08T03:00:00,2024-08-08T04:40:00
FL00139,NO212,AC1012,NorthernJet,SFO,ORD,2024-08-11T09:00:00,2024-08-11T11:17:00
FL00140,NO360,AC1020,NorthernJet,SEA,ATL,2024-09-01T03:00:00,2024-09-01T06:21:00
FL00141,SK816,AC1010,SkyWays,DFW,PHX,2024-09-21T00:00:00,2024-09-21T01:42:00
FL00142,EX293,AC1005,ExampleAir,JFK,ORD,2024-09-04T06:00:00,2024-09-04T10:11:00
FL00143,SK733,AC1018,SkyWays,SFO,JFK,2024-07-22T19:00:00,2024-07-22T20:46:00
FL00144,RE471,AC1003,RegionalCo,BOS,JFK,2024-07-07T12:00:00,2024-07-07T13:31:00
FL00145,SK239,AC1018,SkyWays,DEN,PHX,2024-07-09T23:00:00,2024-07-10T02:49:00
FL00146,SK360,AC1006,SkyWays,PHX,BOS,2024-07-14T11:00:00,2024-07-14T14:22:00
FL00147,SK461,AC1018,SkyWays,MIA,PHX,2024-08-19T19:00:00,2024-08-20T00:20:00
FL00148,EX609,AC1009,ExampleAir,DEN,LAX,2024-09-15T06:00:00,2024-09-15T11:46:00
FL00149,EX716,AC1013,ExampleAir,MIA,SFO,2024-07-25T09:00:00,2024-07-25T12:59:00
FL00150,RE147,AC1007,RegionalCo,PHX,DEN,2024-08-01T11:00:00,2024-08-01T16:18:00
FL00151,SK442,AC1006,SkyWays,DFW,PHX,2024-07-18T15:00:00,2024-07-18T18:11:00
FL00152,RE225,AC1011,RegionalCo,PHX,MIA,2024-07-20T10:00:00,2024-07-20T13:52:00
FL00153,EX311,AC1017,ExampleAir,SFO,SEA,2024-08-04T06:00:00,2024-08-04T09:33:00
FL00154,SK933,AC1006,SkyWays,PHX,DFW,2024-07-16T19:00:00,2024-07-16T23:16:00
FL00155,EX208,AC1001,ExampleAir,DEN,JFK,2024-07-11T20:00:00,2024-07-12T00:41:00
FL00156,EX222,AC1009,ExampleAir,DFW,SFO,2024-09-05T17:00:00,2024-09-05T22:05:00
FL00157,NO391,AC1004,NorthernJet,ATL,SFO,2024-07-11T17:00:00,2024-07-11T20:59:00
FL00158,SK987,AC1014,SkyWays,LAX,DFW,2024-09-14T00:00:00,2024-09-14T05:38:00
FL00159,RE784,AC1011,RegionalCo,SEA,ORD,2024-07-24T02:00:00,2024-07-24T03:48:00
FL00160,EX463,AC1001,ExampleAir,SFO,PHX,2024-09-03T01:00:00,2024-09-03T04:23:00
FL00161,RE777,AC1011,RegionalCo,MSP,ORD,2024-09-26T15:00:00,2024-09-26T17:35:00
FL00162,RE668,AC1019,RegionalCo,MSP,LAX,2024-09-04T18:00:00,2024-09-04T21:13:00
FL00163,EX549,AC1001,ExampleAir,ATL,DFW,2024-09-06T06:00:00,2024-09-06T09:19:00
FL00164,SK691,AC1006,SkyWays,SFO,BOS,2024-09-16T08:00:00,2024-09-16T10:58:00
FL00165,NO629,AC1020,NorthernJet,ATL,SFO,2024-07-12T22:00:00,2024-07-13T00:19:00
FL00166,NO108,AC1016,NorthernJet,MIA,MSP,2024-08-24T20:00:00,2024-08-24T23:04:00
FL00167,SK248,AC1018,SkyWays,JFK,PHX,2024-07-18T22:00:00,2024-07-18T23:47:00
FL00168,NO371,AC1008,NorthernJet,LAX,BOS,2024-07-14T10:00:00,2024-07-14T15:42:00
FL00169,RE664,AC1003,RegionalCo,ORD,SFO,2024-08-24T14:00:00,2024-08-24T17:09:00
FL00170,RE283,AC1011,RegionalCo,PHX,MIA,2024-08-06T00:00:00,2024-08-06T02:24:00
FL00171,SK691,AC1014,SkyWays,MSP,JFK,2024-09-16T09:00:00,2024-09-16T12:55:00
FL00172,RE726,AC1003,RegionalCo,ORD,SEA,2024-08-16T17:00:00,2024-08-16T21:11:00
FL00173,RE549,AC1011,RegionalCo,LAX,SEA,2024-07-08T09:00:00,2024-07-08T14:31:00
FL00174,SK157,AC1006,SkyWays,MIA,SFO,2024-08-10T14:00:00,2024-08-10T17:41:00
FL00175,EX504,AC1001,ExampleAir,ORD,MSP,2024-08-15T19:00:00,2024-08-15T20:47:00
FL00176,EX437,AC1009,ExampleAir,DEN,MSP,2024-08-31T06:00:00,2024-08-31T08:26:00
FL00177,NO291,AC1012,NorthernJet,PHX,BOS,2024-07-14T05:00:00,2024-07-14T10:37:00
FL00178,NO321,AC1012,NorthernJet,BOS,SEA,2024-08-12T14:00:00,2024-08-12T17:13:00
FL00179,SK342,AC1006,SkyWays,ATL,MSP,2024-09-14T05:00:00,2024-09-14T07:35:00
FL00180,EX940,AC1017,ExampleAir,MSP,SEA,2024-08-15T03:00:00,2024-08-15T05:14:00
FL00181,SK342,AC1010,SkyWays,PHX,ORD,2024-07-21T21:00:00,2024-07-22T02:18:00
FL00182,RE149,AC1019,RegionalCo,LAX,DEN,2024-08-29T14:00:00,2024-08-29T19:06:00
FL00183,EX481,AC1005,ExampleAir,ORD,JFK,2024-09-07T13:00:00,2024-09-07T17:55:00
FL00184,EX528,AC1001,ExampleAir,ORD,SEA,2024-09-13T11:00:00,2024-09-13T13:43:00
FL00185,NO790,AC1012,NorthernJet,PHX,DFW,2024-08-29T07:00:00,2024-08-29T10:02:00
FL00186,NO946,AC1016,NorthernJet,PHX,MSP,2024-09-01T05:00:00,2024-09-01T08:58:00
FL00187,RE810,AC1019,RegionalCo,JFK,PHX,2024-08-18T10:00:00,2024-08-18T11:53:00
FL00188,EX400,AC1013,ExampleAir,MSP,SEA,2024-08-17T04:00:00,2024-08-17T08:06:00
FL00189,RE336,AC1003,RegionalCo,PHX,ORD,2024-08-02T08:00:00,2024-08-02T10:41:00
FL00190,RE732,AC1003,RegionalCo,BOS,DFW,2024-07-08T16:00:00,2024-07-08T20:06:00
FL00191,NO314,AC1020,NorthernJet,SFO,ORD,2024-07-05T16:00:00,2024-07-05T18:41:00
FL00192,RE616,AC1011,RegionalCo,SFO,ATL,2024-07-03T12:00:00,2024-07-03T17:52:00
FL00193,NO664,AC1012,NorthernJet,ORD,SFO,2024-09-08T02:00:00,2024-09-08T06:56:00
FL00194,SK825,AC1018,SkyWays,ORD,BOS,2024-09-01T15:00:00,2024-09-01T20:06:00
FL00195,RE691,AC1007,RegionalCo,ATL,ORD,2024-09-04T04:00:00,2024-09-04T06:33:00
FL00196,NO106,AC1016,NorthernJet,ORD,SEA,2024-07-17T11:00:00,2024-07-17T15:41:00
FL00197,EX674,AC1009,ExampleAir,MIA,ATL,2024-09-16T14:00:00,2024-09-16T17:23:00
FL00198,NO396,AC1020,NorthernJet,ORD,ATL,2024-08-01T23:00:00,2024-08-02T02:27:00
