:ID(MaintenanceEvent),component_id,system_id,aircraft_id,fault,severity,reported_at,corrective_action
ME0001,AC1002-S04-C02,AC1002-S04,AC1002,Contamination,CRITICAL,2024-08-27T12:00:00,Adjusted tolerance
ME0002,AC1017-S01-C03,AC1017-S01,AC1017,Sensor drift,MINOR,2024-07-21T11:00:00,Replaced component
ME0003,AC1003-S03-C01,AC1003-S03,AC1003,Leak,MAJOR,2024-08-24T13:00:00,Replaced component
ME0004,AC1009-S04-C02,AC1009-S04,AC1009,Fuel starvation,CRITICAL,2024-07-30T06:00:00,Inspected and found no fault
ME0005,AC1008-S03-C01,AC1008-S03,AC1008,Bearing wear,MINOR,2024-09-08T15:00:00,Replaced component
ME0006,AC1004-S04-C02,AC1004-S04,AC1004,Overheat,MAJOR,2024-08-19T06:00:00,Replaced component
ME0007,AC1005-S02-C05,AC1005-S02,AC1005,Fuel starvation,MAJOR,2024-08-25T23:00:00,Replaced component
ME0008,AC1020-S01-C05,AC1020-S01,AC1020,Leak,MAJOR,2024-07-17T05:00:00,Software patch applied
ME0009,AC1008-S01-C02,AC1008-S01,AC1008,Bearing wear,MINOR,2024-08-18T10:00:00,Inspected and found no fault
ME0010,AC1014-S03-C03,AC1014-S03,AC1014,Vibration exceedance,MAJOR,2024-09-11T05:00:00,Adjusted tolerance
ME0011,AC1005-S01-C01,AC1005-S01,AC1005,Electrical fault,CRITICAL,2024-09-18T09:00:00,Inspected and found no fault
ME0012,AC1009-S02-C03,AC1009-S02,AC1009,Vibration exceedance,MAJOR,2024-08-09T17:00:00,Cleaned and reassembled
ME0013,AC1002-S02-C02,AC1002-S02,AC1002,Sensor drift,MAJOR,2024-07-29T19:00:00,Software patch applied
ME0014,AC1009-S04-C01,AC1009-S04,AC1009,Sensor drift,CRITICAL,2024-07-08T01:00:00,Software patch applied
ME0015,AC1016-S02-C03,AC1016-S02,AC1016,Overheat,MAJOR,2024-09-21T00:00:00,Software patch applied
ME0016,AC1016-S02-C01,AC1016-S02,AC1016,Electrical fault,MINOR,2024-07-29T23:00:00,Software patch applied
ME0017,AC1015-S01-C03,AC1015-S01,AC1015,Leak,MINOR,2024-08-29T04:00:00,Adjusted tolerance
ME0018,AC1010-S01-C01,AC1010-S01,AC1010,Electrical fault,MAJOR,2024-09-17T06:00:00,Software patch applied
ME0019,AC1008-S01-C05,AC1008-S01,AC1008,Bearing wear,CRITICAL,2024-08-03T06:00:00,Software patch applied
ME0020,AC1002-S02-C03,AC1002-S02,AC1002,Bearing wear,MINOR,2024-07-16T03:00:00,Inspected and found no fault
ME0021,AC1017-S01-C05,AC1017-S01,AC1017,Leak,MAJOR,2024-08-04T17:00:00,Inspected and found no fault
ME0022,AC1001-S01-C04,AC1001-S01,AC1001,Contamination,MAJOR,2024-08-18T19:00:00,Replaced component
ME0023,AC1001-S02-C05,AC1001-S02,AC1001,Bearing wear,CRITICAL,2024-07-19T02:00:00,Cleaned and reassembled
ME0024,AC1004-S02-C05,AC1004-S02,AC1004,Contamination,MAJOR,2024-08-10T20:00:00,Adjusted tolerance
ME0025,AC1020-S02-C03,AC1020-S02,AC1020,Leak,CRITICAL,2024-07-12T06:00:00,Inspected and found no fault
ME0026,AC1016-S03-C03,AC1016-S03,AC1016,Contamination,MAJOR,2024-07-12T18:00:00,Cleaned and reassembled
ME0027,AC1007-S01-C05,AC1007-S01,AC1007,Electrical fault,MINOR,2024-09-04T00:00:00,Replaced component
ME0028,AC1011-S04-C02,AC1011-S04,AC1011,Electrical fault,CRITICAL,2024-09-21T15:00:00,Inspected and found no fault
ME0029,AC1013-S04-C02,AC1013-S04,AC1013,Overheat,CRITICAL,2024-07-26T22:00:00,Replaced component
ME0030,AC1014-S02-C05,AC1014-S02,AC1014,Sensor drift,MAJOR,2024-07-21T15:00:00,Replaced component
ME0031,AC1003-S02-C02,AC1003-S02,AC1003,Contamination,CRITICAL,2024-08-02T16:00:00,Cleaned and reassembled
ME0032,AC1016-S04-C03,AC1016-S04,AC1016,Leak,MAJOR,2024-09-25T16:00:00,Adjusted tolerance
ME0033,AC1009-S02-C01,AC1009-S02,AC1009,Bearing wear,CRITICAL,2024-08-05T21:00:00,Software patch applied
ME0034,AC1005-S02-C05,AC1005-S02,AC1005,Contamination,CRITICAL,2024-09-19T13:00:00,Inspected and found no fault
ME0035,AC1008-S01-C02,AC1008-S01,AC1008,Vibration exceedance,CRITICAL,2024-09-28T01:00:00,Replaced component
ME0036,AC1010-S04-C01,AC1010-S04,AC1010,Leak,CRITICAL,2024-07-07T14:00:00,Adjusted tolerance
ME0037,AC1010-S03-C01,AC1010-S03,AC1010,Fuel starvation,CRITICAL,2024-08-30T00:00:00,Cleaned and reassembled
ME0038,AC1001-S02-C05,AC1001-S02,AC1001,Electrical fault,MINOR,2024-08-15T07:00:00,Software patch applied
ME0039,AC1006-S01-C04,AC1006-S01,AC1006,Vibration exceedance,MINOR,2024-07-17T12:00:00,Replaced component
ME0040,AC1005-S04-C02,AC1005-S04,AC1005,Vibration exceedance,MINOR,2024-08-27T03:00:00,Replaced component
ME0041,AC1002-S02-C01,AC1002-S02,AC1002,Fuel starvation,CRITICAL,2024-08-07T02:00:00,Cleaned and reassembled
ME0042,AC1016-S01-C05,AC1016-S01,AC1016,Fuel starvation,MINOR,2024-07-26T16:00:00,Adjusted tolerance
ME0043,AC1003-S02-C02,AC1003-S02,AC1003,Vibration exceedance,MINOR,2024-08-11T16:00:00,Inspected and found no fault
ME0044,AC1003-S02-C03,AC1003-S02,AC1003,Leak,MAJOR,2024-09-11T23:00:00,Cleaned and reassembled
ME0045,AC1004-S02-C02,AC1004-S02,AC1004,Contamination,MINOR,2024-09-28T00:00:00,Replaced component
ME0046,AC1019-S02-C01,AC1019-S02,AC1019,Bearing wear,MINOR,2024-07-08T04:00:00,Software patch applied
ME0047,AC1001-S04-C03,AC1001-S04,AC1001,Contamination,CRITICAL,2024-09-26T17:00:00,Replaced component
ME0048,AC1014-S02-C05,AC1014-S02,AC1014,Fuel starvation,MAJOR,2024-09-17T03:00:00,Replaced component
ME0049,AC1013-S01-C03,AC1013-S01,AC1013,Electrical fault,MAJOR,2024-08-21T03:00:00,Replaced component
ME0050,AC1007-S02-C05,AC1007-S02,AC1007,Overheat,MAJOR,2024-09-01T11:00:00,Software patch applied
ME0051,AC1010-S02-C03,AC1010-S02,AC1010,Overheat,MINOR,2024-08-08T15:00:00,Replaced component
ME0052,AC1006-S02-C04,AC1006-S02,AC1006,Contamination,CRITICAL,2024-07-22T00:00:00,Software patch applied
ME0053,AC1020-S04-C02,AC1020-S04,AC1020,Leak,MINOR,2024-09-15T00:00:00,Cleaned and reassembled
ME0054,AC1013-S02-C04,AC1013-S02,AC1013,Vibration exceedance,MAJOR,2024-09-25T22:00:00,Adjusted tolerance
ME0055,AC1001-S04-C02,AC1001-S04,AC1001,Fuel starvation,MINOR,2024-07-12T22:00:00,Inspected and found no fault
ME0056,AC1009-S01-C01,AC1009-S01,AC1009,Sensor drift,MINOR,2024-09-23T17:00:00,Adjusted tolerance
ME0057,AC1015-S01-C05,AC1015-S01,AC1015,Vibration exceedance,MAJOR,2024-07-08T04:00:00,Adjusted tolerance
ME0058,AC1009-S03-C02,AC1009-S03,AC1009,Leak,MINOR,2024-07-10T17:00:00,Inspected and found no fault
ME0059,AC1007-S04-C01,AC1007-S04,AC1007,Fuel starvation,CRITICAL,2024-07-07T05:00:00,Inspected and found no fault
ME0060,AC1005-S01-C01,AC1005-S01,AC1005,Electrical fault,CRITICAL,2024-08-25T09:00:00,Adjusted tolerance
ME0061,AC1013-S01-C05,AC1013-S01,AC1013,Sensor drift,MINOR,2024-08-03T19:00:00,Cleaned and reassembled
ME0062,AC1017-S01-C03,AC1017-S01,AC1017,Bearing wear,MINOR,2024-08-16T01:00:00,Inspected and found no fault
ME0063,AC1002-S03-C01,AC1002-S03,AC1002,Fuel starvation,MAJOR,2024-08-20T21:00:00,Replaced component
ME0064,AC1014-S02-C01,AC1014-S02,AC1014,Fuel starvation,MINOR,2024-08-11T22:00:00,Inspected and found no fault
ME0065,AC1001-S04-C02,AC1001-S04,AC1001,Contamination,MAJOR,2024-09-22T19:00:00,Inspected and found no fault
ME0066,AC1002-S04-C02,AC1002-S04,AC1002,Electrical fault,MAJOR,2024-07-11T03:00:00,Software patch applied
ME0067,AC1017-S02-C04,AC1017-S02,AC1017,Sensor drift,MINOR,2024-08-22T10:00:00,Adjusted tolerance
ME0068,AC1019-S02-C03,AC1019-S02,AC1019,Electrical fault,CRITICAL,2024-07-01T06:00:00,Cleaned and reassembled
ME0069,AC1012-S04-C01,AC1012-S04,AC1012,Contamination,CRITICAL,2024-07-20T12:00:00,Inspected and found no fault
ME0070,AC1019-S02-C04,AC1019-S02,AC1019,Vibration exceedance,MINOR,2024-08-15T01:00:00,Software patch applied
ME0071,AC1013-S04-C01,AC1013-S04,AC1013,Leak,MAJOR,2024-07-21T15:00:00,Replaced component
ME0072,AC1007-S03-C01,AC1007-S03,AC1007,Fuel starvation,MINOR,2024-09-04T20:00:00,Cleaned and reassembled
ME0073,AC1002-S03-C01,AC1002-S03,AC1002,Leak,MINOR,2024-07-03T01:00:00,Cleaned and reassembled
ME0074,AC1005-S02-C03,AC1005-S02,AC1005,Contamination,CRITICAL,2024-09-18T05:00:00,Cleaned and reassembled
ME0075,AC1005-S02-C02,AC1005-S02,AC1005,Sensor drift,MAJOR,2024-07-10T14:00:00,Software patch applied
ME0076,AC1005-S01-C04,AC1005-S01,AC1005,Sensor drift,MAJOR,2024-07-09T11:00:00,Software patch applied
ME0077,AC1002-S02-C03,AC1002-S02,AC1002,Bearing wear,MAJOR,2024-09-27T14:00:00,Software patch applied
ME0078,AC1014-S04-C01,AC1014-S04,AC1014,Bearing wear,CRITICAL,2024-09-02T18:00:00,Replaced component
ME0079,AC1004-S01-C04,AC1004-S01,AC1004,Fuel starvation,MINOR,2024-09-26T10:00:00,Replaced component
ME0080,AC1004-S04-C03,AC1004-S04,AC1004,Fuel starvation,CRITICAL,2024-07-06T13:00:00,Replaced component
ME0081,AC1005-S01-C01,AC1005-S01,AC1005,Sensor drift,CRITICAL,2024-08-21T01:00:00,Adjusted tolerance
ME0082,AC1002-S02-C02,AC1002-S02,AC1002,Bearing wear,MAJOR,2024-07-16T07:00:00,Cleaned and reassembled
ME0083,AC1016-S04-C02,AC1016-S04,AC1016,Overheat,MINOR,2024-07-11T20:00:00,Adjusted tolerance
ME0084,AC1006-S01-C05,AC1006-S01,AC1006,Bearing wear,MINOR,2024-08-09T00:00:00,Inspected and found no fault
ME0085,AC1020-S01-C03,AC1020-S01,AC1020,Vibration exceedance,MINOR,2024-08-10T00:00:00,Cleaned and reassembled
ME0086,AC1013-S01-C02,AC1013-S01,AC1013,Fuel starvation,CRITICAL,2024-09-16T11:00:00,Cleaned and reassembled
ME0087,AC1014-S04-C01,AC1014-S04,AC1014,Overheat,MAJOR,2024-07-12T04:00:00,Inspected and found no fault
ME0088,AC1008-S02-C01,AC1008-S02,AC1008,Vibration exceedance,MAJOR,2024-09-16T03:00:00,Adjusted tolerance
ME0089,AC1002-S04-C03,AC1002-S04,AC1002,Vibration exceedance,CRITICAL,2024-07-23T17:00:00,Inspected and found no fault
ME0090,AC1019-S04-C02,AC1019-S04,AC1019,Leak,MINOR,2024-09-04T20:00:00,Inspected and found no fault
ME0091,AC1003-S01-C02,AC1003-S01,AC1003,Sensor drift,CRITICAL,2024-08-10T04:00:00,Adjusted tolerance
ME0092,AC1003-S01-C01,AC1003-S01,AC1003,Contamination,MAJOR,2024-09-10T01:00:00,Replaced component
ME0093,AC1014-S02-C04,AC1014-S02,AC1014,Bearing wear,MAJOR,2024-09-01T15:00:00,Inspected and found no fault
ME0094,AC1002-S02-C02,AC1002-S02,AC1002,Overheat,CRITICAL,2024-08-29T17:00:00,Inspected and found no fault
ME0095,AC1012-S04-C01,AC1012-S04,AC1012,Electrical fault,CRITICAL,2024-07-20T23:00:00,Adjusted tolerance
ME0096,AC1003-S03-C03,AC1003-S03,AC1003,Vibration exceedance,MINOR,2024-08-10T02:00:00,Replaced component
ME0097,AC1020-S01-C03,AC1020-S01,AC1020,Vibration exceedance,MAJOR,2024-09-15T09:00:00,Adjusted tolerance
ME0098,AC1017-S02-C02,AC1017-S02,AC1017,Vibration exceedance,MINOR,2024-09-04T09:00:00,Replaced component
ME0099,AC1004-S03-C03,AC1004-S03,AC1004,Electrical fault,MINOR,2024-08-27T10:00:00,Adjusted tolerance
ME0100,AC1010-S01-C02,AC1010-S01,AC1010,Sensor drift,MAJOR,2024-07-19T04:00:00,Replaced component
ME0101,AC1009-S02-C02,AC1009-S02,AC1009,Leak,MINOR,2024-08-12T09:00:00,Replaced component
ME0102,AC1014-S04-C01,AC1014-S04,AC1014,Leak,MINOR,2024-08-26T03:00:00,Inspected and found no fault
ME0103,AC1009-S02-C01,AC1009-S02,AC1009,Bearing wear,MAJOR,2024-07-07T22:00:00,Inspected and found no fault
ME0104,AC1012-S04-C01,AC1012-S04,AC1012,Electrical fault,CRITICAL,2024-09-25T18:00:00,Replaced component
ME0105,AC1016-S01-C05,AC1016-S01,AC1016,Sensor drift,MAJOR,2024-07-04T04:00:00,Adjusted tolerance
ME0106,AC1019-S04-C03,AC1019-S04,AC1019,Sensor drift,MAJOR,2024-07-05T11:00:00,Replaced component
ME0107,AC1006-S02-C01,AC1006-S02,AC1006,Bearing wear,MINOR,2024-08-24T04:00:00,Replaced component
ME0108,AC1010-S04-C03,AC1010-S04,AC1010,Sensor drift,MINOR,2024-09-10T04:00:00,Adjusted tolerance
ME0109,AC1014-S04-C02,AC1014-S04,AC1014,Contamination,MAJOR,2024-08-21T17:00:00,Replaced component
ME0110,AC1015-S03-C01,AC1015-S03,AC1015,Fuel starvation,MINOR,2024-07-02T12:00:00,Inspected and found no fault
ME0111,AC1019-S02-C04,AC1019-S02,AC1019,Electrical fault,MINOR,2024-09-09T06:00:00,Adjusted tolerance
ME0112,AC1007-S01-C05,AC1007-S01,AC1007,Vibration exceedance,CRITICAL,2024-08-12T04:00:00,Replaced component
ME0113,AC1019-S01-C04,AC1019-S01,AC1019,Fuel starvation,MINOR,2024-09-25T08:00:00,Cleaned and reassembled
ME0114,AC1004-S01-C03,AC1004-S01,AC1004,Leak,MINOR,2024-07-09T20:00:00,Software patch applied
ME0115,AC1014-S02-C04,AC1014-S02,AC1014,Bearing wear,MAJOR,2024-07-15T07:00:00,Adjusted tolerance
ME0116,AC1016-S02-C01,AC1016-S02,AC1016,Electrical fault,MINOR,2024-07-23T17:00:00,Cleaned and reassembled
ME0117,AC1019-S02-C04,AC1019-S02,AC1019,Contamination,CRITICAL,2024-08-22T12:00:00,Inspected and found no fault
ME0118,AC1012-S03-C01,AC1012-S03,AC1012,Fuel starvation,MINOR,2024-08-28T10:00:00,Software patch applied
ME0119,AC1004-S03-C03,AC1004-S03,AC1004,Overheat,CRITICAL,2024-09-09T07:00:00,Inspected and found no fault
ME0120,AC1011-S04-C03,AC1011-S04,AC1011,Electrical fault,MINOR,2024-07-29T01:00:00,Replaced component
ME0121,AC1011-S03-C01,AC1011-S03,AC1011,Sensor drift,MINOR,2024-07-14T01:00:00,Adjusted tolerance
ME0122,AC1015-S02-C02,AC1015-S02,AC1015,Leak,CRITICAL,2024-09-06T16:00:00,Inspected and found no fault
ME0123,AC1020-S02-C04,AC1020-S02,AC1020,Fuel starvation,MAJOR,2024-09-06T17:00:00,Adjusted tolerance
ME0124,AC1005-S03-C01,AC1005-S03,AC1005,Leak,MAJOR,2024-08-21T03:00:00,Inspected and found no fault
ME0125,AC1012-S04-C01,AC1012-S04,AC1012,Leak,CRITICAL,2024-08-09T00:00:00,Inspected and found no fault
ME0126,AC1006-S02-C05,AC1006-S02,AC1006,Vibration exceedance,CRITICAL,2024-08-17T06:00:00,Cleaned and reassembled
ME0127,AC1003-S02-C05,AC1003-S02,AC1003,Overheat,CRITICAL,2024-09-05T05:00:00,Software patch applied
ME0128,AC1005-S01-C04,AC1005-S01,AC1005,Vibration exceedance,CRITICAL,2024-07-01T20:00:00,Cleaned and reassembled
ME0129,AC1018-S01-C05,AC1018-S01,AC1018,Sensor drift,CRITICAL,2024-09-25T05:00:00,Cleaned and reassembled
ME0130,AC1005-S04-C03,AC1005-S04,AC1005,Vibration exceedance,MINOR,2024-07-20T13:00:00,Inspected and found no fault
ME0131,AC1007-S02-C04,AC1007-S02,AC1007,Leak,MINOR,2024-07-20T03:00:00,Adjusted tolerance
ME0132,AC1017-S01-C04,AC1017-S01,AC1017,Sensor drift,CRITICAL,2024-09-10T15:00:00,Inspected and found no fault
ME0133,AC1017-S02-C01,AC1017-S02,AC1017,Sensor drift,CRITICAL,2024-08-30T14:00:00,Replaced component
ME0134,AC1006-S02-C04,AC1006-S02,AC1006,Bearing wear,MINOR,2024-07-13T13:00:00,Inspected and found no fault
ME0135,AC1014-S03-C03,AC1014-S03,AC1014,Electrical fault,MINOR,2024-07-28T17:00:00,Software patch applied
ME0136,AC1011-S03-C01,AC1011-S03,AC1011,Vibration exceedance,CRITICAL,2024-07-05T15:00:00,Adjusted tolerance
ME0137,AC1002-S01-C03,AC1002-S01,AC1002,Sensor drift,MAJOR,2024-07-14T23:00:00,Cleaned and reassembled
ME0138,AC1005-S02-C03,AC1005-S02,AC1005,Sensor drift,CRITICAL,2024-09-22T06:00:00,Adjusted tolerance
ME0139,AC1009-S01-C05,AC1009-S01,AC1009,Vibration exceedance,MINOR,2024-08-30T12:00:00,Inspected and found no fault
ME0140,AC1007-S04-C02,AC1007-S04,AC1007,Vibration exceedance,MINOR,2024-07-18T12:00:00,Cleaned and reassembled
ME0141,AC1003-S04-C01,AC1003-S04,AC1003,Electrical fault,MAJOR,2024-07-20T11:00:00,Software patch applied
ME0142,AC1009-S04-C03,AC1009-S04,AC1009,Sensor drift,MINOR,2024-07-30T15:00:00,Cleaned and reassembled
ME0143,AC1020-S01-C01,AC1020-S01,AC1020,Leak,MAJOR,2024-08-03T14:00:00,Cleaned and reassembled
ME0144,AC1015-S01-C03,AC1015-S01,AC1015,Overheat,MINOR,2024-07-05T01:00:00,Adjusted tolerance
ME0145,AC1003-S02-C03,AC1003-S02,AC1003,Vibration exceedance,CRITICAL,2024-07-17T05:00:00,Replaced component
ME0146,AC1007-S02-C03,AC1007-S02,AC1007,Overheat,CRITICAL,2024-08-09T22:00:00,Software patch applied
ME0147,AC1003-S01-C01,AC1003-S01,AC1003,Vibration exceedance,MINOR,2024-09-09T11:00:00,Cleaned and reassembled
ME0148,AC1001-S01-C03,AC1001-S01,AC1001,Leak,MAJOR,2024-09-08T22:00:00,Cleaned and reassembled
ME0149,AC1001-S04-C03,AC1001-S04,AC1001,Bearing wear,CRITICAL,2024-08-21T06:00:00,Software patch applied
