:ID(MaintenanceEvent),component_id,system_id,aircraft_id,fault,severity,reported_at,corrective_action
ME0150,AC1014-S04-C03,AC1014-S04,AC1014,Electrical fault,MAJOR,2024-07-03T05:00:00,Cleaned and reassembled
ME0151,AC1001-S04-C03,AC1001-S04,AC1001,Electrical fault,MAJOR,2024-07-18T22:00:00,Inspected and found no fault
ME0152,AC1015-S04-C03,AC1015-S04,AC1015,Bearing wear,CRITICAL,2024-07-24T21:00:00,Adjusted tolerance
ME0153,AC1006-S03-C02,AC1006-S03,AC1006,Sensor drift,MAJOR,2024-08-23T00:00:00,Replaced component
ME0154,AC1006-S01-C02,AC1006-S01,AC1006,Vibration exceedance,MINOR,2024-08-05T03:00:00,Inspected and found no fault
ME0155,AC1020-S01-C05,AC1020-S01,AC1020,Leak,MAJOR,2024-08-03T23:00:00,Replaced component
ME0156,AC1011-S02-C03,AC1011-S02,AC1011,Overheat,MINOR,2024-07-30T02:00:00,Software patch applied
ME0157,AC1011-S03-C02,AC1011-S03,AC1011,Contamination,CRITICAL,2024-09-11T01:00:00,Inspected and found no fault
ME0158,AC1012-S02-C03,AC1012-S02,AC1012,Vibration exceedance,MAJOR,2024-09-20T16:00:00,Cleaned and reassembled
ME0159,AC1002-S04-C02,AC1002-S04,AC1002,Overheat,MINOR,2024-07-26T12:00:00,Replaced component
ME0160,AC1006-S04-C01,AC1006-S04,AC1006,Overheat,CRITICAL,2024-09-06T16:00:00,Replaced component
ME0161,AC1007-S01-C01,AC1007-S01,AC1007,Fuel starvation,MINOR,2024-07-13T20:00:00,Replaced component
ME0162,AC1002-S02-C03,AC1002-S02,AC1002,Vibration exceedance,CRITICAL,2024-07-20T03:00:00,Adjusted tolerance
ME0163,AC1013-S02-C01,AC1013-S02,AC1013,Contamination,CRITICAL,2024-08-27T22:00:00,Cleaned and reassembled
ME0164,AC1005-S01-C05,AC1005-S01,AC1005,Fuel starvation,MAJOR,2024-09-08T08:00:00,Cleaned and reassembled
ME0165,AC1016-S04-C02,AC1016-S04,AC1016,Electrical fault,CRITICAL,2024-08-22T03:00:00,Cleaned and reassembled
ME0166,AC1010-S01-C05,AC1010-S01,AC1010,Vibration exceedance,MAJOR,2024-07-09T22:00:00,Inspected and found no fault
ME0167,AC1018-S03-C01,AC1018-S03,AC1018,Contamination,MINOR,2024-08-09T18:00:00,Software patch applied
ME0168,AC1005-S02-C03,AC1005-S02,AC1005,Overheat,MINOR,2024-08-27T13:00:00,Replaced component
ME0169,AC1010-S02-C01,AC1010-S02,AC1010,Overheat,MINOR,2024-09-14T02:00:00,Replaced component
ME0170,AC1014-S01-C04,AC1014-S01,AC1014,Sensor drift,MINOR,2024-08-26T12:00:00,Inspected and found no fault
ME0171,AC1008-S02-C04,AC1008-S02,AC1008,Electrical fault,MINOR,2024-08-31T06:00:00,Adjusted tolerance
ME0172,AC1012-S01-C05,AC1012-S01,AC1012,Electrical fault,MINOR,2024-08-27T13:00:00,Software patch applied
ME0173,AC1014-S03-C01,AC1014-S03,AC1014,Fuel starvation,MAJOR,2024-08-16T04:00:00,Software patch applied
ME0174,AC1014-S01-C02,AC1014-S01,AC1014,Fuel starvation,CRITICAL,2024-08-15T08:00:00,Adjusted tolerance
ME0175,AC1008-S03-C01,AC1008-S03,AC1008,Leak,CRITICAL,2024-08-24T18:00:00,Adjusted tolerance
ME0176,AC1008-S02-C01,AC1008-S02,AC1008,Overheat,CRITICAL,2024-08-15T17:00:00,Adjusted tolerance
ME0177,AC1019-S02-C01,AC1019-S02,AC1019,Electrical fault,MINOR,2024-07-27T14:00:00,Adjusted tolerance
ME0178,AC1002-S01-C03,AC1002-S01,AC1002,Overheat,MAJOR,2024-09-09T17:00:00,Inspected and found no fault
ME0179,AC1004-S03-C03,AC1004-S03,AC1004,Electrical fault,CRITICAL,2024-08-13T22:00:00,Inspected and found no fault
ME0180,AC1014-S03-C01,AC1014-S03,AC1014,Electrical fault,MAJOR,2024-09-18T17:00:00,Adjusted tolerance
ME0181,AC1008-S04-C02,AC1008-S04,AC1008,Leak,MINOR,2024-08-16T07:00:00,Software patch applied
ME0182,AC1005-S04-C02,AC1005-S04,AC1005,Bearing wear,MINOR,2024-08-03T05:00:00,Cleaned and reassembled
ME0183,AC1008-S03-C01,AC1008-S03,AC1008,Leak,MAJOR,2024-08-29T12:00:00,Software patch applied
ME0184,AC1012-S01-C04,AC1012-S01,AC1012,Fuel starvation,CRITICAL,2024-09-15T09:00:00,Software patch applied
ME0185,AC1020-S02-C01,AC1020-S02,AC1020,Vibration exceedance,CRITICAL,2024-08-08T04:00:00,Software patch applied
ME0186,AC1014-S04-C03,AC1014-S04,AC1014,Leak,MAJOR,2024-09-10T05:00:00,Adjusted tolerance
ME0187,AC1007-S03-C01,AC1007-S03,AC1007,Sensor drift,CRITICAL,2024-08-23T10:00:00,Inspected and found no fault
ME0188,AC1001-S04-C03,AC1001-S04,AC1001,Sensor drift,CRITICAL,2024-08-13T05:00:00,Adjusted tolerance
ME0189,AC1013-S03-C01,AC1013-S03,AC1013,Overheat,CRITICAL,2024-08-24T18:00:00,Software patch applied
ME0190,AC1013-S03-C03,AC1013-S03,AC1013,Leak,MAJOR,2024-08-23T10:00:00,Adjusted tolerance
ME0191,AC1011-S01-C03,AC1011-S01,AC1011,Leak,CRITICAL,2024-08-08T17:00:00,Adjusted tolerance
ME0192,AC1018-S03-C01,AC1018-S03,AC1018,Fuel starvation,MAJOR,2024-08-13T05:00:00,Cleaned and reassembled
ME0193,AC1007-S03-C02,AC1007-S03,AC1007,Sensor drift,CRITICAL,2024-09-22T20:00:00,Software patch applied
ME0194,AC1013-S02-C01,AC1013-S02,AC1013,Leak,MINOR,2024-07-31T22:00:00,Replaced component
ME0195,AC1016-S02-C02,AC1016-S02,AC1016,Fuel starvation,MINOR,2024-08-14T06:00:00,Software patch applied
ME0196,AC1013-S02-C04,AC1013-S02,AC1013,Vibration exceedance,MAJOR,2024-08-25T01:00:00,Inspected and found no fault
ME0197,AC1011-S04-C02,AC1011-S04,AC1011,Vibration exceedance,MINOR,2024-09-03T20:00:00,Cleaned and reassembled
ME0198,AC1007-S01-C05,AC1007-S01,AC1007,Overheat,MINOR,2024-08-16T16:00:00,Replaced component
ME0199,AC1005-S01-C03,AC1005-S01,AC1005,Leak,MINOR,2024-09-25T12:00:00,Replaced component
ME0200,AC1017-S04-C02,AC1017-S04,AC1017,Sensor drift,CRITICAL,2024-09-14T17:00:00,Replaced component
ME0201,AC1008-S01-C03,AC1008-S01,AC1008,Bearing wear,CRITICAL,2024-09-03T23:00:00,Software patch applied
ME0202,AC1016-S04-C02,AC1016-S04,AC1016,Sensor drift,MINOR,2024-09-26T17:00:00,Inspected and found no fault
ME0203,AC1014-S01-C05,AC1014-S01,AC1014,Electrical fault,CRITICAL,2024-08-30T21:00:00,Replaced component
ME0204,AC1009-S01-C01,AC1009-S01,AC1009,Fuel starvation,CRITICAL,2024-08-30T14:00:00,Adjusted tolerance
ME0205,AC1020-S01-C05,AC1020-S01,AC1020,Electrical fault,CRITICAL,2024-09-21T14:00:00,Replaced component
ME0206,AC1020-S03-C03,AC1020-S03,AC1020,Bearing wear,MINOR,2024-07-15T20:00:00,Cleaned and reassembled
ME0207,AC1003-S01-C05,AC1003-S01,AC1003,Vibration exceedance,CRITICAL,2024-08-07T02:00:00,Adjusted tolerance
ME0208,AC1016-S01-C05,AC1016-S01,AC1016,Bearing wear,CRITICAL,2024-09-05T14:00:00,Replaced component
ME0209,AC1017-S01-C05,AC1017-S01,AC1017,Contamination,MINOR,2024-09-11T16:00:00,Software patch applied
ME0210,AC1002-S03-C01,AC1002-S03,AC1002,Bearing wear,CRITICAL,2024-09-06T06:00:00,Replaced component
ME0211,AC1005-S03-C01,AC1005-S03,AC1005,Sensor drift,MAJOR,2024-07-24T09:00:00,Cleaned and reassembled
ME0212,AC1013-S01-C02,AC1013-S01,AC1013,Vibration exceedance,CRITICAL,2024-08-18T22:00:00,Software patch applied
ME0213,AC1006-S04-C01,AC1006-S04,AC1006,Electrical fault,CRITICAL,2024-08-30T03:00:00,Software patch applied
ME0214,AC1007-S02-C01,AC1007-S02,AC1007,Overheat,MAJOR,2024-07-15T05:00:00,Cleaned and reassembled
ME0215,AC1003-S02-C01,AC1003-S02,AC1003,Overheat,MINOR,2024-08-02T15:00:00,Adjusted tolerance
ME0216,AC1013-S02-C01,AC1013-S02,AC1013,Overheat,CRITICAL,2024-08-17T11:00:00,Adjusted tolerance
ME0217,AC1014-S01-C03,AC1014-S01,AC1014,Contamination,CRITICAL,2024-09-25T22:00:00,Adjusted tolerance
ME0218,AC1008-S01-C05,AC1008-S01,AC1008,Electrical fault,MAJOR,2024-07-27T10:00:00,Replaced component
ME0219,AC1017-S01-C05,AC1017-S01,AC1017,Contamination,CRITICAL,2024-09-11T22:00:00,Inspected and found no fault
ME0220,AC1005-S01-C04,AC1005-S01,AC1005,Contamination,MINOR,2024-07-01T08:00:00,Replaced component
ME0221,AC1019-S03-C03,AC1019-S03,AC1019,Electrical fault,CRITICAL,2024-09-23T11:00:00,Inspected and found no fault
ME0222,AC1004-S01-C01,AC1004-S01,AC1004,Overheat,MINOR,2024-08-12T23:00:00,Cleaned and reassembled
ME0223,AC1014-S01-C03,AC1014-S01,AC1014,Vibration exceedance,CRITICAL,2024-07-23T13:00:00,Replaced component
ME0224,AC1009-S01-C02,AC1009-S01,AC1009,Sensor drift,CRITICAL,2024-08-25T04:00:00,Adjusted tolerance
ME0225,AC1011-S01-C02,AC1011-S01,AC1011,Contamination,MAJOR,2024-08-19T16:00:00,Replaced component
ME0226,AC1002-S01-C02,AC1002-S01,AC1002,Leak,MAJOR,2024-07-16T21:00:00,Replaced component
ME0227,AC1003-S04-C01,AC1003-S04,AC1003,Vibration exceedance,MAJOR,2024-08-25T07:00:00,Cleaned and reassembled
ME0228,AC1009-S02-C02,AC1009-S02,AC1009,Leak,MINOR,2024-08-26T01:00:00,Adjusted tolerance
ME0229,AC1020-S01-C03,AC1020-S01,AC1020,Fuel starvation,MAJOR,2024-07-10T16:00:00,Software patch applied
ME0230,AC1001-S01-C01,AC1001-S01,AC1001,Sensor drift,CRITICAL,2024-09-09T11:00:00,Adjusted tolerance
ME0231,AC1006-S02-C01,AC1006-S02,AC1006,Contamination,CRITICAL,2024-09-09T16:00:00,Software patch applied
ME0232,AC1020-S01-C03,AC1020-S01,AC1020,Sensor drift,MINOR,2024-08-04T05:00:00,Software patch applied
ME0233,AC1014-S01-C03,AC1014-S01,AC1014,Leak,MINOR,2024-08-12T06:00:00,Software patch applied
ME0234,AC1005-S04-C01,AC1005-S04,AC1005,Vibration exceedance,MINOR,2024-08-03T10:00:00,Cleaned and reassembled
ME0235,AC1007-S01-C02,AC1007-S01,AC1007,Overheat,MAJOR,2024-09-19T14:00:00,Replaced component
ME0236,AC1018-S04-C02,AC1018-S04,AC1018,Overheat,MAJOR,2024-08-30T07:00:00,Adjusted tolerance
ME0237,AC1005-S01-C03,AC1005-S01,AC1005,Overheat,MAJOR,2024-07-15T03:00:00,Replaced component
ME0238,AC1006-S01-C04,AC1006-S01,AC1006,Overheat,CRITICAL,2024-09-09T12:00:00,Adjusted tolerance
ME0239,AC1005-S01-C03,AC1005-S01,AC1005,Leak,MINOR,2024-08-24T12:00:00,Inspected and found no fault
ME0240,AC1020-S04-C03,AC1020-S04,AC1020,Leak,MAJOR,2024-07-19T00:00:00,Adjusted tolerance
ME0241,AC1019-S02-C05,AC1019-S02,AC1019,Overheat,MINOR,2024-08-27T20:00:00,Cleaned and reassembled
ME0242,AC1020-S01-C01,AC1020-S01,AC1020,Vibration exceedance,CRITICAL,2024-09-23T00:00:00,Cleaned and reassembled
ME0243,AC1005-S01-C03,AC1005-S01,AC1005,Sensor drift,MAJOR,2024-08-18T05:00:00,Software patch applied
ME0244,AC1003-S02-C04,AC1003-S02,AC1003,Contamination,CRITICAL,2024-07-31T11:00:00,Cleaned and reassembled
ME0245,AC1010-S02-C04,AC1010-S02,AC1010,Overheat,CRITICAL,2024-09-26T17:00:00,Software patch applied
ME0246,AC1005-S02-C01,AC1005-S02,AC1005,Bearing wear,CRITICAL,2024-09-25T08:00:00,Adjusted tolerance
ME0247,AC1017-S02-C01,AC1017-S02,AC1017,Overheat,MAJOR,2024-07-23T19:00:00,Cleaned and reassembled
ME0248,AC1020-S04-C01,AC1020-S04,AC1020,Sensor drift,MAJOR,2024-09-28T12:00:00,Software patch applied
ME0249,AC1008-S01-C05,AC1008-S01,AC1008,Contamination,CRITICAL,2024-09-20T00:00:00,Inspected and found no fault
ME0250,AC1020-S03-C01,AC1020-S03,AC1020,Overheat,MAJOR,2024-08-14T14:00:00,Software patch applied
ME0251,AC1019-S04-C02,AC1019-S04,AC1019,Bearing wear,MAJOR,2024-07-01T23:00:00,Cleaned and reassembled
ME0252,AC1005-S02-C01,AC1005-S02,AC1005,Overheat,MAJOR,2024-08-04T14:00:00,Adjusted tolerance
ME0253,AC1018-S03-C03,AC1018-S03,AC1018,Contamination,MAJOR,2024-07-22T17:00:00,Inspected and found no fault
ME0254,AC1019-S01-C01,AC1019-S01,AC1019,Bearing wear,MINOR,2024-07-03T18:00:00,Inspected and found no fault
ME0255,AC1006-S01-C05,AC1006-S01,AC1006,Electrical fault,MAJOR,2024-09-28T07:00:00,Cleaned and reassembled
ME0256,AC1003-S03-C01,AC1003-S03,AC1003,Fuel starvation,CRITICAL,2024-09-27T10:00:00,Inspected and found no fault
ME0257,AC1010-S03-C01,AC1010-S03,AC1010,Vibration exceedance,MAJOR,2024-09-11T02:00:00,Replaced component
ME0258,AC1003-S01-C01,AC1003-S01,AC1003,Vibration exceedance,MINOR,2024-07-15T16:00:00,Software patch applied
ME0259,AC1003-S01-C04,AC1003-S01,AC1003,Bearing wear,CRITICAL,2024-08-19T11:00:00,Cleaned and reassembled
ME0260,AC1004-S02-C02,AC1004-S02,AC1004,Leak,MAJOR,2024-09-08T16:00:00,Cleaned and reassembled
ME0261,AC1016-S02-C04,AC1016-S02,AC1016,Fuel starvation,MINOR,2024-09-03T03:00:00,Replaced component
ME0262,AC1009-S02-C03,AC1009-S02,AC1009,Contamination,CRITICAL,2024-07-25T03:00:00,Adjusted tolerance
ME0263,AC1010-S03-C03,AC1010-S03,AC1010,Overheat,MINOR,2024-08-16T03:00:00,Inspected and found no fault
ME0264,AC1012-S01-C03,AC1012-S01,AC1012,Contamination,MINOR,2024-09-07T19:00:00,Adjusted tolerance
ME0265,AC1006-S03-C01,AC1006-S03,AC1006,Sensor drift,MAJOR,2024-07-05T14:00:00,Software patch applied
ME0266,AC1011-S01-C01,AC1011-S01,AC1011,Overheat,MAJOR,2024-08-30T07:00:00,Inspected and found no fault
ME0267,AC1017-S03-C02,AC1017-S03,AC1017,Fuel starvation,MINOR,2024-09-03T16:00:00,Software patch applied
ME0268,AC1018-S02-C04,AC1018-S02,AC1018,Electrical fault,MAJOR,2024-07-31T17:00:00,Replaced component
ME0269,AC1004-S01-C02,AC1004-S01,AC1004,Sensor drift,MAJOR,2024-07-28T18:00:00,Replaced component
ME0270,AC1011-S02-C02,AC1011-S02,AC1011,Sensor drift,MINOR,2024-09-16T20:00:00,Adjusted tolerance
ME0271,AC1004-S03-C01,AC1004-S03,AC1004,Contamination,CRITICAL,2024-08-22T13:00:00,Cleaned and reassembled
ME0272,AC1019-S03-C02,AC1019-S03,AC1019,Electrical fault,MINOR,2024-07-17T22:00:00,Cleaned and reassembled
ME0273,AC1003-S02-C04,AC1003-S02,AC1003,Leak,MINOR,2024-07-23T03:00:00,Cleaned and reassembled
ME0274,AC1012-S04-C01,AC1012-S04,AC1012,Fuel starvation,MINOR,2024-07-29T10:00:00,Software patch applied
ME0275,AC1014-S03-C03,AC1014-S03,AC1014,Bearing wear,MAJOR,2024-08-07T19:00:00,Replaced component
ME0276,AC1011-S04-C01,AC1011-S04,AC1011,Sensor drift,CRITICAL,2024-08-01T08:00:00,Software patch applied
ME0277,AC1014-S01-C03,AC1014-S01,AC1014,Fuel starvation,MINOR,2024-07-02T20:00:00,Software patch applied
ME0278,AC1007-S01-C03,AC1007-S01,AC1007,Contamination,CRITICAL,2024-09-10T12:00:00,Adjusted tolerance
ME0279,AC1015-S03-C03,AC1015-S03,AC1015,Vibration exceedance,CRITICAL,2024-07-17T10:00:00,Adjusted tolerance
ME0280,AC1010-S02-C05,AC1010-S02,AC1010,Leak,MINOR,2024-07-29T23:00:00,Cleaned and reassembled
ME0281,AC1004-S02-C01,AC1004-S02,AC1004,Bearing wear,CRITICAL,2024-09-14T20:00:00,Cleaned and reassembled
ME0282,AC1004-S02-C03,AC1004-S02,AC1004,Fuel starvation,CRITICAL,2024-08-31T19:00:00,Software patch applied
ME0283,AC1009-S02-C04,AC1009-S02,AC1009,Sensor drift,MINOR,2024-08-13T02:00:00,Inspected and found no fault
ME0284,AC1009-S04-C01,AC1009-S04,AC1009,Contamination,MAJOR,2024-09-25T23:00:00,Software patch applied
ME0285,AC1014-S01-C02,AC1014-S01,AC1014,Fuel starvation,CRITICAL,2024-08-13T08:00:00,Inspected and found no fault
ME0286,AC1007-S03-C01,AC1007-S03,AC1007,Contamination,MINOR,2024-09-26T03:00:00,Software patch applied
ME0287,AC1015-S04-C01,AC1015-S04,AC1015,Sensor drift,MINOR,2024-09-12T05:00:00,Adjusted tolerance
ME0288,AC1019-S01-C04,AC1019-S01,AC1019,Contamination,MAJOR,2024-08-21T12:00:00,Cleaned and reassembled
ME0289,AC1014-S02-C05,AC1014-S02,AC1014,Sensor drift,MAJOR,2024-09-01T07:00:00,Adjusted tolerance
ME0290,AC1002-S03-C03,AC1002-S03,AC1002,Vibration exceedance,MINOR,2024-07-06T22:00:00,Software patch applied
ME0291,AC1017-S03-C01,AC1017-S03,AC1017,Bearing wear,CRITICAL,2024-09-03T09:00:00,Adjusted tolerance
ME0292,AC1007-S03-C01,AC1007-S03,AC1007,Fuel starvation,MINOR,2024-07-10T11:00:00,Adjusted tolerance
ME0293,AC1014-S02-C04,AC1014-S02,AC1014,Leak,CRITICAL,2024-09-10T22:00:00,Inspected and found no fault
ME0294,AC1015-S04-C02,AC1015-S04,AC1015,Leak,MAJOR,2024-09-26T15:00:00,Inspected and found no fault
ME0295,AC1007-S01-C04,AC1007-S01,AC1007,Electrical fault,MAJOR,2024-07-20T00:00:00,Inspected and found no fault
ME0296,AC1018-S01-C01,AC1018-S01,AC1018,Sensor drift,MINOR,2024-07-12T20:00:00,Inspected and found no fault
ME0297,AC1003-S01-C04,AC1003-S01,AC1003,Electrical fault,MAJOR,2024-07-21T00:00:00,Inspected and found no fault
ME0298,AC1016-S04-C02,AC1016-S04,AC1016,Bearing wear,MINOR,2024-09-08T13:00:00,Cleaned and reassembled
ME0299,AC1020-S04-C03,AC1020-S04,AC1020,Contamination,MINOR,2024-07-01T04:00:00,Cleaned and reassembled
ME0300,AC1009-S02-C05,AC1009-S02,AC1009,Fuel starvation,MAJOR,2024-08-24T05:00:00,Software patch applied
